variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,country_code
Caturra,Colombia,Washed / Wet,2012,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,0.0,170
Catuai,Guatemala,Natural / Dry,2012,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,7.67,0.11,320
Other,Uganda,Washed / Wet,2012,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,0.11,800
Mandheling,Indonesia,Natural / Dry,2017,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,7.75,0.12,360
Caturra,Colombia,Washed / Wet,2018,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,0.0,170
Bourbon,Guatemala,Washed / Wet,2016,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,0.1,320
Caturra,Colombia,Washed / Wet,2014,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,170
Bourbon,Guatemala,Washed / Wet,2014,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,0.1,320
Typica,Mexico,Washed / Wet,2012,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,0.11,484
Other,Ethiopia,Natural / Dry,2012,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,0.09,231
Caturra,Costa Rica,Washed / Wet,2017,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,0.08,188
Gesha,Ethiopia,Natural / Dry,2017,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,0.11,231
Caturra,Honduras,Washed / Wet,2017,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,0.1,340
Caturra,Guatemala,Washed / Wet,2015,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,0.12,320
Other,Colombia,Washed / Wet,2015,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,0.11,170
Bourbon,Guatemala,Natural / Dry,2014,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,0.1,320
Bourbon,Guatemala,Other,2014,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,0.1,320
Caturra,Colombia,Washed / Wet,2014,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.83,0.12,170
Caturra,Colombia,Natural / Dry,2014,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,0.12,170
Caturra,Colombia,Washed / Wet,2014,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,0.12,170
Other,Ethiopia,Natural / Dry,2013,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,0.09,231
Yellow Bourbon,Brazil,Natural / Dry,2014,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,0.1,076
Caturra,Colombia,Washed / Wet,2013,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,0.11,170
SL34,Kenya,Washed / Wet,2012,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,0.0,404
Other,Thailand,Washed / Wet,2012,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,0.12,764
SL28,Kenya,Washed / Wet,2012,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,0.0,404
Other,Uganda,Washed / Wet,2012,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,0.1,800
Caturra,Thailand,Washed / Wet,2011,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,8.0,0.06,764
Bourbon,Brazil,Natural / Dry,2018,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,0.0,076
Mundo Novo,Mexico,Washed / Wet,2017,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,0.11,484
Catimor,Thailand,Natural / Dry,2015,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,0.1,764
Bourbon,Brazil,Natural / Dry,2016,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,0.11,076
Caturra,Colombia,Washed / Wet,2016,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,7.67,0.11,170
Caturra,Colombia,Washed / Wet,2016,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,7.58,0.0,170
Caturra,Colombia,Washed / Wet,2015,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,0.0,170
Caturra,Colombia,Washed / Wet,2014,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.67,0.0,170
Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,0.0,170
Caturra,Colombia,Natural / Dry,2014,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,0.12,170
Typica,Mexico,Washed / Wet,2012,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,0.12,484
Typica,Mexico,Washed / Wet,2012,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,0.11,484
Typica,Mexico,Washed / Wet,2012,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,0.0,484
Caturra,Colombia,Washed / Wet,2017,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,0.0,170
Caturra,Colombia,Washed / Wet,2016,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.58,0.0,170
Caturra,Costa Rica,Washed / Wet,2015,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,0.0,188
Bourbon,Guatemala,Washed / Wet,2016,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,0.11,320
Yellow Bourbon,Brazil,Natural / Dry,2016,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,0.0,076
Caturra,Ethiopia,Natural / Dry,2014,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,0.12,231
Bourbon,Brazil,Semi-washed / Semi-pulped,2015,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,0.0,076
Catuai,Costa Rica,Washed / Wet,2013,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,0.1,188
Bourbon,Guatemala,Washed / Wet,2014,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,0.1,320
Yellow Bourbon,Brazil,Natural / Dry,2014,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,0.1,076
Caturra,Ecuador,Natural / Dry,2013,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,0.09,218
Caturra,Colombia,Washed / Wet,2013,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,0.11,170
Bourbon,Guatemala,Washed / Wet,2013,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,0.11,320
Bourbon,Mexico,Natural / Dry,2012,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,0.1,484
Pacas,Mexico,Natural / Dry,2012,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,0.11,484
Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2012,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,0.12,076
Caturra,Thailand,Washed / Wet,2011,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,7.5,0.02,764
Caturra,Thailand,Washed / Wet,2011,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,7.75,0.01,764
Caturra,Ethiopia,Washed / Wet,2010,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,7.5,0.1,231
SL28,Kenya,Washed / Wet,2012,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,0.11,404
Bourbon,Brazil,Natural / Dry,2018,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,0.11,076
Caturra,Colombia,Washed / Wet,2017,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,0.11,170
Caturra,Colombia,Washed / Wet,2016,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,7.67,0.0,170
Catimor,China,Washed / Wet,2015,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,0.1,156
Caturra,Colombia,Natural / Dry,2016,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,0.0,170
Bourbon,Uganda,Natural / Dry,2013,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,0.12,800
Caturra,Colombia,Washed / Wet,2014,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,0.0,170
Other,Colombia,Washed / Wet,2014,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,0.0,170
Caturra,Colombia,Washed / Wet,2013,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,0.0,170
Caturra,Colombia,Washed / Wet,2013,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,0.11,170
Caturra,Mexico,Natural / Dry,2012,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,0.13,484
Caturra,Guatemala,Washed / Wet,2012,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,0.11,320
Caturra,Colombia,Washed / Wet,Jan-11,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,8.08,0.1,170
Caturra,Colombia,Washed / Wet,2010,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,7.75,0.06,170
Bourbon,Brazil,Natural / Dry,2018,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,0.11,076
SL28,Kenya,Washed / Wet,2017,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,0.11,404
Caturra,Honduras,Washed / Wet,2016,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,0.1,340
Caturra,Nicaragua,Washed / Wet,2016,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,0.1,558
Bourbon,Brazil,Natural / Dry,2016,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,0.11,076
Caturra,Costa Rica,Washed / Wet,2012,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,8.33,0.11,188
Caturra,Thailand,Washed / Wet,2014,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,7.75,0.12,764
Caturra,Colombia,Washed / Wet,2015,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,0.11,170
Bourbon,Guatemala,Washed / Wet,2014,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,0.1,320
Caturra,Colombia,Washed / Wet,2013,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,0.0,170
Caturra,Colombia,Washed / Wet,2013,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,0.0,170
Bourbon,Guatemala,Washed / Wet,2013,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,0.12,320
Bourbon,Guatemala,Washed / Wet,2013,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,0.11,320
Caturra,Colombia,Washed / Wet,2012,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,0.11,170
Caturra,Guatemala,Natural / Dry,2012,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,0.11,320
Bourbon,Guatemala,Washed / Wet,2012,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,0.11,320
Typica,Mexico,Washed / Wet,2012,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,0.12,484
Typica,Indonesia,Washed / Wet,2012,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,0.12,360
Caturra,Guatemala,Washed / Wet,2012,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,0.1,320
Bourbon,Brazil,Natural / Dry,2018,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,0.11,076
Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,0.11,320
Caturra,Colombia,Washed / Wet,2016,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,0.11,170
Catimor,China,Washed / Wet,2015,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,0.1,156
Caturra,Colombia,Washed / Wet,2015,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,0.12,170
Caturra,Mexico,Washed / Wet,2014,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,0.12,484
Other,Ethiopia,Washed / Wet,2014,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,0.0,231
SL14,Uganda,Washed / Wet,2013,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.12,800
Caturra,Colombia,Natural / Dry,2014,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.0,170
Caturra,Colombia,Washed / Wet,2014,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,0.12,170
Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,0.0,170
Caturra,Colombia,Washed / Wet,2012,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,0.11,170
Typica,Mexico,Washed / Wet,2012,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,0.12,484
Caturra,Colombia,Natural / Dry,2012,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,0.11,170
Catuai,Brazil,Semi-washed / Semi-pulped,2012,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,0.12,076
Caturra,Colombia,Washed / Wet,2016,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,0.0,170
Caturra,Costa Rica,Washed / Wet,2015,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,0.0,188
Caturra,Colombia,Natural / Dry,2016,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,0.0,170
Bourbon,Guatemala,Washed / Wet,2016,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,0.1,320
Caturra,Colombia,Washed / Wet,2015,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,0.12,170
Sumatra,Indonesia,Semi-washed / Semi-pulped,2015,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,0.13,360
Caturra,Ethiopia,Natural / Dry,2014,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,0.1,231
Caturra,Colombia,Washed / Wet,2014,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,7.67,0.0,170
Caturra,Colombia,Washed / Wet,2014,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,0.11,170
Caturra,Guatemala,Washed / Wet,2013,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,0.1,320
Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,7.67,0.0,170
Caturra,Honduras,Natural / Dry,2015,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,0.1,340
Caturra,Colombia,Washed / Wet,2013,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,0.0,170
Caturra,Colombia,Washed / Wet,2013,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,0.11,170
Bourbon,Mexico,Natural / Dry,2012,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,0.13,484
Typica,Mexico,Semi-washed / Semi-pulped,2012,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,0.11,484
Pacamara,Mexico,Washed / Wet,2012,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,0.12,484
Caturra,Guatemala,Washed / Wet,2012,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,0.1,320
Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.11,170
Bourbon,Guatemala,Washed / Wet,2012,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,0.0,320
Caturra,Indonesia,Washed / Wet,23-Jul-10,7.83,7.58,7.58,7.58,7.75,7.58,10.0,10.0,10.0,7.58,0.0,360
Caturra,Colombia,Washed / Wet,2018,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,0.0,170
Bourbon,Guatemala,Washed / Wet,2017,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.1,320
Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,0.11,170
Caturra,Costa Rica,Washed / Wet,2016,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,0.09,188
SL14,Uganda,Washed / Wet,2015,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,0.11,800
Catimor,Thailand,Washed / Wet,2015,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,0.13,764
Bourbon,El Salvador,Washed / Wet,2016,7.58,7.5,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.58,0.11,222
Caturra,Colombia,Natural / Dry,2015,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,0.12,170
Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2014,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,0.12,076
Caturra,Colombia,Washed / Wet,2015,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,0.12,170
Bourbon,Guatemala,Natural / Dry,2013,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,0.1,320
Caturra,Guatemala,Washed / Wet,2014,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,0.1,320
Bourbon,Guatemala,Washed / Wet,2013,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,0.11,320
Caturra,Colombia,Washed / Wet,2012,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,0.11,170
Caturra,Colombia,Washed / Wet,2012,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,7.58,0.1,170
Peaberry,Thailand,Washed / Wet,2012,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,7.83,0.11,764
Caturra,Mexico,Washed / Wet,2012,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,8.0,0.09,484
Caturra,Colombia,Washed / Wet,2016,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,170
Caturra,Colombia,Washed / Wet,2016,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,7.67,0.0,170
Caturra,Colombia,Washed / Wet,2016,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,0.0,170
Catuai,Brazil,Semi-washed / Semi-pulped,2016,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,0.1,076
Caturra,Mexico,Washed / Wet,2014,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,0.12,484
Caturra,Colombia,Washed / Wet,2015,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,0.11,170
Other,Mexico,Washed / Wet,2013,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,0.12,484
Caturra,Costa Rica,Washed / Wet,2014,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,0.12,188
Catuai,Costa Rica,Washed / Wet,2013,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8.0,0.11,188
Caturra,Peru,Washed / Wet,2013,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,7.5,0.12,604
Typica,Haiti,Washed / Wet,2012,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,0.11,332
Caturra,Colombia,Natural / Dry,2013,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,0.11,170
Bourbon,Guatemala,Washed / Wet,2013,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.11,320
Bourbon,Burundi,Washed / Wet,2012,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,0.0,108
Caturra,Colombia,Washed / Wet,2012,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,0.0,170
Typica,Mexico,Washed / Wet,2017,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,0.11,484
Catuai,Costa Rica,Pulped natural / honey,2016,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,0.11,188
Caturra,Costa Rica,Washed / Wet,2015,7.83,7.5,7.42,7.67,7.5,7.67,10.0,10.0,10.0,7.67,0.11,188
Pacas,Guatemala,Washed / Wet,2016,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,0.11,320
SL14,Uganda,Washed / Wet,2015,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,7.67,0.12,800
Caturra,Brazil,Washed / Wet,2016,7.58,7.67,7.42,7.5,7.67,7.42,10.0,10.0,10.0,8.0,0.12,076
Caturra,Colombia,Natural / Dry,2016,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,7.58,0.0,170
Typica,Mexico,Natural / Dry,2015,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.42,0.12,484
Caturra,Colombia,Natural / Dry,2014,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,7.67,0.0,170
Caturra,Guatemala,Washed / Wet,2014,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,0.1,320
Caturra,Colombia,Washed / Wet,2013,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,7.58,0.11,170
Bourbon,Mexico,Washed / Wet,2013,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,0.12,484
Mundo Novo,Mexico,Washed / Wet,2012,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,0.13,484
Caturra,Mexico,Washed / Wet,2012,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,7.58,0.12,484
Bourbon,Guatemala,Washed / Wet,2012,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,7.42,0.11,320
Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2012,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.11,076
Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,7.58,0.12,170
Caturra,Colombia,Washed / Wet,2012,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,7.67,0.11,170
Caturra,Colombia,Washed / Wet,2011,7.92,7.75,7.25,7.42,7.83,7.58,10.0,10.0,10.0,7.5,0.08,170
Caturra,Colombia,Washed / Wet,2010,8.0,7.67,7.67,7.25,7.67,7.5,10.0,10.0,10.0,7.5,0.13,170
Caturra,Colombia,Washed / Wet,2010,7.92,7.75,7.5,7.42,7.42,7.67,10.0,10.0,10.0,7.58,0.04,170
Bourbon,Brazil,Natural / Dry,2018,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.75,0.11,076
Bourbon,Guatemala,Washed / Wet,2017,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.67,0.1,320
Caturra,Peru,Washed / Wet,2017,7.92,7.5,7.5,7.58,7.67,7.5,10.0,10.0,10.0,7.5,0.11,604
Caturra,Guatemala,Washed / Wet,2016,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,0.11,320
Catuai,Honduras,Washed / Wet,2016,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,0.11,340
Catimor,China,Washed / Wet,2015,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.11,156
Catimor,China,Washed / Wet,2015,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,7.67,0.1,156
Bourbon,El Salvador,Washed / Wet,2016,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,7.5,0.0,222
Bourbon,Guatemala,Washed / Wet,2015,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.5,0.11,320
Bourbon,Guatemala,Washed / Wet,2015,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.42,0.12,320
SL28,Kenya,Washed / Wet,2014,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,0.1,404
Caturra,Thailand,Washed / Wet,2014,7.67,7.58,7.58,7.75,7.42,7.67,10.0,10.0,10.0,7.5,0.12,764
Caturra,Colombia,Washed / Wet,2014,7.58,7.5,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.75,0.0,170
SL14,Uganda,Washed / Wet,2014,8.0,7.67,7.5,7.42,7.33,7.58,10.0,10.0,10.0,7.67,0.1,800
Caturra,Colombia,Washed / Wet,2014,7.58,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.11,170
Catuai,Honduras,Natural / Dry,2013,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.67,0.1,340
Caturra,Honduras,Natural / Dry,2015,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,0.11,340
Catuai,Guatemala,Washed / Wet,2014,7.33,7.83,7.17,8.17,7.33,7.67,10.0,10.0,10.0,7.67,0.09,320
Bourbon,Guatemala,Washed / Wet,2013,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,10.0,7.5,0.11,320
Typica,Mexico,Washed / Wet,2013,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.75,0.11,484
Typica,Mexico,Washed / Wet,2012,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,10.0,7.67,0.12,484
Pacamara,Mexico,Washed / Wet,2012,7.58,7.75,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.67,0.14,484
